,Loan,Insurance Premium,Admin Fee,MonthlyLoanInstalment,period,rate,,,,Calculator Parameters,,,,,,Agent Commsion
Product ID,1000.00,19.89,300.00,67.58,24,19%,,Input,,Output,,,Formula,,,
DL01,2000.00,35.19,300.00,80.84,24,19%,,Basic Salary,"7,500.00",Qualified Amount,,,A,2500.00,,Product ID
DL01,3000.00,50.49,300.00,94.10,24,19%,,Marital Satus,Single,New Installment,38011,,B,35533.47,,Product Amount
DL01,4000.00,65.79,300.00,107.36,24,19%,,Fixed Allowance 1,"1,000.00",Repayment,24,,C,1807.33,,
DL01,5000.00,81.09,300.00,120.61,24,19%,,Fixed Allowance 2,500.00,,,,D,3777.95,,
DL01,6000.00,96.39,300.00,133.87,24,19%,,Micro Loan 1,"1,807.33",,,,E,,,
DL01,7000.00,111.69,300.00,147.13,24,19%,,Micro Loan 2,0.00,,,,F,,,
DL01,8000.00,126.99,300.00,160.39,24,19%,,Total Earnings,"12,000.00",,,,,,,
DL01,9000.00,142.29,300.00,173.65,24,19%,,Total Deductions,"7,000.00",,,Where,A,Nett Willing,,
DL01,10000.00,157.59,300.00,186.91,24,19%,,Current Net Salary,"3,777.95",,,,B,Current Loan Balance,,
DL01,11000.00,172.89,300.00,200.16,24,19%,,Nett Salary Willing,"2,500.00",,,,C,Current Installment,,
DL01,12000.00,188.19,300.00,213.42,24,19%,,Take Home Married,"1,500.00",,,,D,Current Nett Salary,,
DL01,13000.00,203.49,300.00,226.68,24,19%,,Take Home Single,"1,300.00",,,,E,,,
DL01,14000.00,218.79,300.00,239.94,24,19%,,Take Home Industrial,700.00,,,,F,,,
DL01,15000.00,234.09,300.00,253.20,24,19%,,Settlement Amount 1,"35,533.47",,,,,,,
DL01,16000.00,249.39,300.00,266.46,24,19%,,Settlement Amount 2,0.00,,, b,,,,
DL01,17000.00,264.69,300.00,279.72,24,19%,,Loan Term 1,12,,,,,,,
DL01,18000.00,279.99,300.00,292.97,24,19%,,Loan Term 2,24,,,,,,,
DL01,19000.00,295.29,300.00,306.23,24,19%,,Loan Term 3,36,,,,,,,
DL01,20000.00,310.59,300.00,319.49,24,19%,,Loan Term 4,48,,,,,,,
DL01,21000.00,325.89,300.00,332.75,24,19%,,Loan Term 5,60,,,,,,,
DL01,22000.00,341.19,300.00,346.01,24,19%,,Loan Term 6,72,,,,,,,
DL02,23000.00,356.49,300.00,359.27,24,19%,,,,,,,,,,
DL02,24000.00,371.79,300.00,372.52,24,19%,,,,,,,,,,
DL02,25000.00,387.09,300.00,385.78,24,19%,,,,,,,,,,
DL02,26000.00,402.39,300.00,399.04,24,19%,,,,,,,,,,
DL02,27000.00,417.69,300.00,412.30,24,19%,,,,,,,,,,
DL02,28000.00,432.99,300.00,425.56,24,19%,,,,,,,,,,
DL02,29000.00,448.29,300.00,438.82,24,19%,,,,,,,,,,
DL02,30000.00,463.59,300.00,452.08,24,19%,,,,,,,,,,
DL02,31000.00,478.89,300.00,465.33,24,19%,,,,,,,,,,
DL02,32000.00,494.19,300.00,478.59,24,19%,,,,,,,,,,
DL02,33000.00,509.49,300.00,491.85,24,19%,,,,,,,,,,
DL02,34000.00,524.79,300.00,505.11,24,19%,,,,,,,,,,
DL02,35000.00,540.09,300.00,518.37,24,19%,,,,,,,,,,
DL02,36000.00,555.39,300.00,531.63,24,19%,,,,,,,,,,
DL02,37000.00,570.69,300.00,544.88,24,19%,,,,,,,,,,
DL02,38000.00,585.99,300.00,558.14,24,19%,,,,,,,,,,
DL02,39000.00,601.29,300.00,571.40,24,19%,,,,,,,,,,
DL02,40000.00,616.59,300.00,584.66,24,19%,,,,,,,,,,
DL02,41000.00,631.89,300.00,597.92,24,19%,,,,,,,,,,
DL03,42000.00,647.19,300.00,624.44,24,19%,,,,,,,,,,
DL03,43000.00,662.49,300.00,650.95,24,19%,,,,,,,,,,
DL03,44000.00,677.79,300.00,677.47,24,19%,,,,,,,,,,
DL03,45000.00,693.09,300.00,703.99,24,19%,,,,,,,,,,
DL03,46000.00,708.39,300.00,730.50,24,19%,,,,,,,,,,
DL03,47000.00,723.69,300.00,757.02,24,19%,,,,,,,,,,
DL03,48000.00,738.99,300.00,783.54,24,19%,,,,,,,,,,
DL03,49000.00,754.29,300.00,810.05,24,19%,,,,,,,,,,
DL03,50000.00,769.59,300.00,836.57,24,19%,,,,,,,,,,
DL03,51000.00,784.89,300.00,863.09,24,19%,,,,,,,,,,
DL03,52000.00,800.19,300.00,889.61,24,19%,,,,,,,,,,
DL03,53000.00,815.49,300.00,916.12,24,19%,,,,,,,,,,
DL03,54000.00,830.79,300.00,942.64,24,19%,,,,,,,,,,
DL03,55000.00,846.09,300.00,969.16,24,19%,,,,,,,,,,
DL03,56000.00,861.39,300.00,995.67,24,19%,,,,,,,,,,
DL03,57000.00,876.69,300.00,1022.19,24,19%,,,,,,,,,,
DL03,58000.00,891.99,300.00,1048.71,24,19%,,,,,,,,,,
DL03,59000.00,907.29,300.00,1075.22,24,19%,,,,,,,,,,
DL03,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
